uf;cidade;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
SC;ANCHIETA;726;35;510;486;24;21;3;0;386;409;2.618457300275482;2.0;687.3846831955923;35.0;661.7192327160494;37.7;20.108398;14.680908;17.81;96.51880645751953;568;0;0;4.705882352941177;95.29411764705881;4.117647058823529;0.5882352941176471;53.168044077134994;56.33608815426997;78.23691460055096;0.0;0.0
SC;MAFRA;725;48;715;691;24;10;14;0;95;114;7.051034482758621;7.0;11056.634910344828;54.85;9156.653830680174;21.78;50.41471;56.0;17.81;207.97305297851562;209;0;0;3.3566433566433567;96.64335664335665;1.3986013986013985;1.9580419580419581;13.10344827586207;15.724137931034482;28.827586206896548;0.0;0.0
SP;IGARAÇU DO TIETÊ;773;31;763;739;24;0;24;0;63;78;8.464424320827943;8.0;15590.641874514877;44.3433;3520.33064690027;17.5;48.399544;48.327595;17.81;132.07916259765625;0;0;0;3.1454783748361725;96.85452162516383;0.0;3.1454783748361725;8.15006468305304;10.090556274256144;0.0;0.0;0.0
SP;BIRITIBA-MIRIM;931;28;877;853;24;0;24;0;61;83;6.880773361976369;4.0;23489.179412352307;74.89;12590.21799765808;37.112;33.093735;25.00782;17.81;325.82818603515625;92;0;0;2.7366020524515395;97.26339794754846;0.0;2.7366020524515395;6.552094522019335;8.915145005370569;9.881847475832437;0.0;0.0
PA;OURILÂNDIA DO NORTE;1113;11;1007;983;24;1;23;0;373;374;2.8149146451033245;3.0;5123.850269541778;496.79;5381.373695829095;381.01;13.728329;15.000751;17.81;1620.43798828125;0;0;0;2.3833167825223436;97.61668321747766;0.09930486593843098;2.284011916583913;33.513027852650495;33.60287511230907;0.0;0.0;0.0
MS;ANAURILÂNDIA;1018;35;1016;992;24;11;13;0;158;174;6.911591355599215;6.0;4418.580618860511;15.59;4139.864041834678;9.79;32.67361;29.132118;17.81;-7.748456001281738;726;0;0;2.3622047244094486;97.63779527559055;1.0826771653543308;1.279527559055118;15.520628683693516;17.092337917485263;71.31630648330058;0.0;0.0
GO;SÃO MIGUEL DO PASSA QUATRO;1036;24;1021;997;24;0;24;0;44;66;6.337837837837838;6.0;6800.797032335907;13.41;6423.210460320642;9.015;27.872847;26.314827;17.81;-13.166760444641113;0;0;0;2.3506366307541624;97.64936336924583;0.0;2.3506366307541624;4.247104247104247;6.370656370656371;0.0;0.0;0.0
PA;MÃE DO RIO;1406;13;1341;1317;24;0;24;0;434;456;6.085348506401138;5.0;6982.579523470839;35.42;7301.10660348749;27.6;17.222502;7.120743;17.81;122.97595977783203;57;0;0;1.7897091722595078;98.2102908277405;0.0;1.7897091722595078;30.867709815078236;32.432432432432435;4.054054054054054;0.0;0.0
PI;ESPERANTINA;1627;22;1618;1594;24;0;24;0;251;275;10.896742470805163;8.0;10452.515499938538;35.6;4342.944209347554;15.49;44.208057;47.112827;17.81;121.3363265991211;0;0;0;1.4833127317676145;98.51668726823239;0.0;1.4833127317676145;15.427166564228642;16.902274124154886;0.0;0.0;0.0
RS;PORTO XAVIER;124;8;86;63;23;11;12;0;20;36;5.080645161290323;5.0;3376.6216129032255;451.0;2766.037142857143;534.0;20.152195;18.822493;17.81;2432.2852783203125;121;0;0;26.744186046511626;73.25581395348837;12.790697674418606;13.953488372093023;16.129032258064516;29.03225806451613;97.58064516129032;0.0;0.0
RS;NOVA ROMA DO SUL;228;19;206;183;23;20;3;0;118;138;3.0350877192982457;2.0;3829.3640789473684;52.370000000000005;2515.8572038251364;39.03;15.784687;5.05;17.81;71.1141242980957;57;0;0;11.165048543689322;88.83495145631069;9.70873786407767;1.4563106796116505;51.75438596491229;60.526315789473685;25.0;0.0;0.0
