resultado_final_normalizado;classificacao_preco_ref;itens;processos;elegiveis_modelagem;sucesso_qtd;insucesso_qtd;deserto_qtd;fracassado_qtd;resultado_final_sucesso_qtd;baixa_comp_qtd;insucesso_ampliado_qtd;propostas_media;propostas_mediana;valor_cotado_medio;valor_cotado_mediano;valor_homologado_medio;valor_homologado_mediano;desconto_pct_medio;desconto_pct_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_sucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct;taxa_insucesso_ampliado_pct;pct_me_epp;pct_regional;pct_local
REVOGADO;COTADO_PROXIMO_DA_REFERENCIA;1979;209;0;0;0;0;0;0;402;402;3.6659929257200607;2.0;151.7783629105609;17.44;;;;;17.81;-0.6176305413246155;527;133;63;;;;;20.3132895401718;20.3132895401718;26.629610914603337;6.720565942395148;3.1834259727134917
CANCELADO;COTADO_ACIMA_DA_REFERENCIA;1281;338;0;0;0;0;0;0;245;245;7.54176424668228;5.0;18463.07779726776;232.23;;;;;17.81;1115.889892578125;382;42;1;;;;;19.12568306010929;19.12568306010929;29.820452771272443;3.278688524590164;0.078064012490242
ANULADO;COTADO_PROXIMO_DA_REFERENCIA;832;112;0;0;0;0;0;0;154;154;4.576923076923077;3.0;724.6740526442308;17.6;;;;;17.81;-0.4161480516195297;161;39;0;;;;;18.509615384615387;18.509615384615387;19.35096153846154;4.6875;0.0
CANCELADO;COTADO_ABAIXO_DA_REFERENCIA;698;150;0;0;0;0;0;0;161;161;5.978510028653295;5.0;165.1563634670487;3.9050000000000002;;;;;17.81;-77.67265701293945;219;18;0;;;;;23.065902578796564;23.065902578796564;31.37535816618911;2.5787965616045847;0.0
EM ADJUDICACAO;COTADO_PROXIMO_DA_REFERENCIA;640;109;0;0;0;0;0;0;115;115;6.575;6.0;25.30506;17.553350000000002;18.82222251655629;11.08;33.392654;32.387104;17.81;0.02807411551475525;346;49;2;;;;;17.96875;17.96875;54.0625;7.656250000000001;0.3125
SUSPENSO;COTADO_PROXIMO_DA_REFERENCIA;601;44;0;0;0;0;0;0;124;124;3.3361064891846923;1.0;18.857394841930116;17.57;6.8674074074074065;5.6;57.182846;63.118526;17.81;-1.347557544708252;179;40;0;;;;;20.632279534109816;20.632279534109816;29.783693843594012;6.655574043261231;0.0
HABILITACAO;COTADO_PROXIMO_DA_REFERENCIA;460;65;0;0;0;0;0;0;128;128;5.997826086956522;2.0;423.539919347826;17.16;1472.223523853211;6.98;-372.38992;43.46154;17.81;-1.656372845172882;26;15;17;;;;;27.82608695652174;27.82608695652174;5.6521739130434785;3.260869565217391;3.6956521739130435
;COTADO_PROXIMO_DA_REFERENCIA;415;0;0;0;0;0;0;0;0;0;0.0;0.0;16.094203373493976;17.16;10.90791224489796;10.67;31.145624;29.647696;17.81;-0.6176305413246155;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
ANALISE DE PROPOSTAS;COTADO_ACIMA_DA_REFERENCIA;268;38;0;0;0;0;0;0;38;38;5.354477611940299;3.0;120949.26211567163;429.345;;;;;17.81;2276.501953125;115;13;0;;;;;14.17910447761194;14.17910447761194;42.91044776119403;4.850746268656716;0.0
RECEPCAO DE PROPOSTAS;COTADO_ABAIXO_DA_REFERENCIA;149;7;0;0;0;0;0;0;0;0;0.0;0.0;5.998942281879194;5.3;;;;;17.81;-70.24143981933594;98;0;49;;;;;0.0;0.0;65.77181208053692;0.0;32.88590604026846
CANCELADO;COTADO_PROXIMO_DA_REFERENCIA;115;48;0;0;0;0;0;0;29;29;5.104347826086957;3.0;676.3059530434782;17.89;;;;;17.81;0.449185848236084;38;6;0;;;;;25.217391304347824;25.217391304347824;33.04347826086956;5.217391304347826;0.0
JULGAMENTO DE RECURSOS;COTADO_ACIMA_DA_REFERENCIA;110;39;0;0;0;0;0;0;3;3;7.5;5.0;261435.31826818179;841.0;172673.65801775703;449.99;32.652084;27.240597;17.81;4118.613037109375;13;0;0;;;;;2.727272727272727;2.727272727272727;11.818181818181818;0.0;0.0
ANALISE DE PROPOSTAS;COTADO_ABAIXO_DA_REFERENCIA;88;19;0;0;0;0;0;0;40;40;1.3863636363636365;1.0;6.5544318181818175;7.865;;;;;17.81;-55.83941459655762;0;0;0;;;;;45.45454545454545;45.45454545454545;0.0;0.0;0.0
RECEPCAO DE PROPOSTAS;COTADO_ACIMA_DA_REFERENCIA;61;13;0;0;0;0;0;0;0;0;0.0;0.0;29564.328140983605;159.26;;;;;17.81;794.2167358398438;41;1;2;;;;;0.0;0.0;67.21311475409836;1.639344262295082;3.278688524590164
PUBLICADO;COTADO_ACIMA_DA_REFERENCIA;42;1;0;0;0;0;0;0;0;0;0.0;0.0;77.13738095238095;53.845;;;;;17.81;226.27737426757812;2;0;0;;;;;0.0;0.0;4.761904761904762;0.0;0.0
PUBLICADO;COTADO_ABAIXO_DA_REFERENCIA;33;1;0;0;0;0;0;0;0;0;0.0;0.0;7.191212121212121;7.11;;;;;17.81;-60.07860565185547;2;0;0;;;;;0.0;0.0;6.0606060606060606;0.0;0.0
MANIFESTACAO DE RECURSOS;COTADO_ABAIXO_DA_REFERENCIA;30;1;0;0;0;0;0;0;0;0;6.766666666666667;6.5;3.3373333333333335;1.695;2.9703333333333335;1.38;9.375474;0.7796384;17.81;-90.48287582397461;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
MANIFESTACAO DE RECURSOS;COTADO_ACIMA_DA_REFERENCIA;24;1;0;0;0;0;0;0;0;0;7.083333333333333;7.0;13.109583333333333;2.165;10.12875;1.89;18.746872;14.021739;0.5;317.25732421875;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
EM FINALIZACAO;COTADO_ACIMA_DA_REFERENCIA;22;7;0;0;0;0;0;0;2;2;9.272727272727273;8.0;389290.53863636364;4320.0;63266.666666666664;28000.0;0.0;0.0;17.81;24156.03515625;0;0;0;;;;;9.090909090909092;9.090909090909092;0.0;0.0;0.0
ANALISE DE PROPOSTAS;COTADO_PROXIMO_DA_REFERENCIA;15;5;0;0;0;0;0;0;4;4;5.066666666666666;2.0;16.64466666666667;15.95;;;;;17.81;-10.443571090698242;1;0;0;;;;;26.666666666666668;26.666666666666668;6.666666666666667;0.0;0.0
JULGAMENTO DE RECURSOS;COTADO_ABAIXO_DA_REFERENCIA;12;5;0;0;0;0;0;0;2;2;5.583333333333333;3.0;3632.491666666667;10.675;2450.5975;6.58;13.796327;5.0;17.81;-52.44716453552246;0;0;2;;;;;16.666666666666664;16.666666666666664;0.0;0.0;16.666666666666664
RECEPCAO DE PROPOSTAS;COTADO_PROXIMO_DA_REFERENCIA;11;3;0;0;0;0;0;0;0;0;0.0;0.0;17.217872727272727;17.23;;;;;17.81;-3.2565975189208984;8;0;4;;;;;0.0;0.0;72.72727272727273;0.0;36.36363636363637
;SEM_REFERENCIA;10;0;0;0;0;0;0;0;0;0;0.0;0.0;60.86;60.86;;;;;17.81;;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
JULGAMENTO DE RECURSOS;COTADO_PROXIMO_DA_REFERENCIA;6;3;0;0;0;0;0;0;0;0;6.166666666666667;3.0;206.725;54.64;194.40300000000002;51.247749999999996;17.00538;5.0;49.725;0.7285645008087158;0;0;0;;;;;0.0;0.0;0.0;0.0;0.0
