descricao_hash;descricao_exemplo;unidade;familia_textual;itens;processos;elegiveis_modelagem;insucesso_qtd;deserto_qtd;fracassado_qtd;baixa_comp_qtd;propostas_media;valor_cotado_mediano;valor_homologado_mediano;mediana_ref_preco;desvio_cotado_ref_mediano_pct;desconto_pct_mediano;me_epp_qtd;regional_qtd;local_qtd;taxa_insucesso_pct;taxa_deserto_pct;taxa_fracassado_pct;taxa_baixa_comp_pct
11330335984227083506;KIT AMORTECEDOR (DIANTEIRO);PC;de / com / para / em / do;17;1;17;6;0;6;0;4.352941176470588;193.33;63.4;63.4;204.93690490722656;65.11923217773438;11;0;0;35.294117647058826;0.0;35.294117647058826;0.0
16457285082504224267;CORREIA DE ALTERNADOR;PC;de / com / para / em / do;17;1;17;6;0;6;0;4.352941176470588;100.0;41.5;41.5;140.96385192871094;65.11547088623047;11;0;0;35.294117647058826;0.0;35.294117647058826;0.0
16567021951978545312;PALHETA;UNID;de / com / para / em / do;17;2;17;6;0;6;1;4.235294117647059;95.0;34.9;34.9;172.206298828125;65.11627960205078;11;0;1;35.294117647058826;0.0;35.294117647058826;5.88235294117647
3384700507956699321;KIT JUNTAS MOTOR;PC;de / com / para / em / do;18;1;18;6;0;6;0;4.333333333333333;451.67;156.15;156.15;189.25392150878906;64.16941833496094;12;0;0;33.33333333333333;0.0;33.33333333333333;0.0
9071671116387818213;KIT RETIFICA DE MOTOR;PC;de / com / para / em / do;18;1;18;6;0;6;0;4.333333333333333;300.66499999999996;119.1;119.1;152.44751739501953;60.472984313964844;12;0;0;33.33333333333333;0.0;33.33333333333333;0.0
13125145181774318055;Mão de obra;UNIDADE;de / com / para / em / do;21;19;20;6;2;4;8;3.7142857142857144;2250.0;1912.4;1912.4;17.653209686279297;15.0;7;1;0;30.0;10.0;20.0;38.095238095238095
17183522152558721141;PIVÔ INFERIOR;UNID.;de / com / para / em / do;22;5;22;6;0;6;0;4.318181818181818;123.16499999999999;53.3;53.3;131.07879638671875;59.87399673461914;12;0;0;27.27272727272727;0.0;27.27272727272727;0.0
18429200517648073620;CAIXA DIREÇÃO;UNID;de / com / para / em / do;22;4;22;6;0;6;3;3.8181818181818183;1816.67;751.3;751.3;141.8035430908203;61.2482795715332;11;0;0;27.27272727272727;0.0;27.27272727272727;13.636363636363635
14273058097741415859;SAPATA DE FREIO;UND;de / com / para / em / do;36;5;27;6;0;6;9;3.2777777777777777;255.665;112.3;112.3;127.66250991821289;55.342519760131836;19;8;0;22.22222222222222;0.0;22.22222222222222;25.0
12476566639829261280;VELA;UNID;de / com / para / em / do;39;6;39;6;0;6;14;3.2564102564102564;47.0;40.0;40.0;17.5;33.33333206176758;22;5;7;15.384615384615385;0.0;15.384615384615385;35.8974358974359
