feature;coeficiente;odds_ratio_aprox;abs_coeficiente
txt__broca;-0.001730627824376966;0.9982708688484373;0.001730627824376966
txt__termo de;-0.0017212569612007065;0.9982802235519929;0.0017212569612007065
txt__500;0.0017185344778971562;1.0017200120045453;0.0017185344778971562
txt__livro;-0.0017100003039886588;0.9982914609135184;0.0017100003039886588
txt__ml solucao;0.0016915018800457854;1.001692933276307;0.0016915018800457854
txt__nasogastrica;0.0016782225498439159;1.0016796315534042;0.0016782225498439159
txt__regulagem;0.0016757016390860139;1.0016771064116279;0.0016757016390860139
txt__200;0.0016724224621911532;1.00167382174059;0.0016724224621911532
txt__termo;-0.0016557545466948029;0.9983456154586294;0.0016557545466948029
txt__aco;0.0016520077762563273;1.0016533730928372;0.0016520077762563273
txt__seguranca;0.0016473683968647743;1.0016487260536002;0.0016473683968647743
txt__injetavel ampola;0.0016470321009325836;1.0016483892032648;0.0016470321009325836
txt__cirurgico;0.0016459200234802832;1.0016472752932954;0.0016459200234802832
txt__inox;0.0016133733088894797;1.0016146754958168;0.0016133733088894797
txt__em aco;0.0016052979377399429;1.0016065871182216;0.0016052979377399429
txt__bem;-0.0015963926716471937;0.9984048808853447;0.0015963926716471937
txt__algodao;0.0015910633858237369;1.0015923297987313;0.0015910633858237369
txt__digital;0.0015874841270269219;1.0015887448469898;0.0015874841270269219
txt__regulagem de;0.0015674417981137736;1.001568670877095;0.0015674417981137736
txt__produto;-0.0015545817381437896;0.9984466259981238;0.0015545817381437896
txt__de seguranca;0.0015481215151851757;1.0015493204739294;0.0015481215151851757
txt__oleo;0.0015297886429868728;1.0015309593665433;0.0015297886429868728
txt__frasco com;0.0015221093706399335;1.0015232683670732;0.0015221093706399335
txt__capacidade;0.0015181761020587772;1.0015193291148154;0.0015181761020587772
txt__pinca;0.0014962623080681289;1.00149738226703;0.0014962623080681289
txt__cabo;0.0014930229929681132;1.0014941381066913;0.0014930229929681132
txt__papel;-0.0014785269783093211;0.9985225655042155;0.0014785269783093211
num__desconto_pct;0.0014622690761212774;1.0014633387128489;0.0014622690761212774
txt__10ml;0.0014619307915237259;1.0014629999332836;0.0014619307915237259
txt__alta;0.0014586169723202922;1.0014596812714616;0.0014586169723202922
txt__metros;0.0014514087344293994;1.001452462537858;0.0014514087344293994
txt__catmat;0.0014403794767446703;1.0014414173215;0.0014403794767446703
num__relacao_homologado_cotado;-0.0014381268475908689;0.9985629067612778;0.0014381268475908689
txt__leite;-0.0014365380344283395;0.998564493292428;0.0014365380344283395
txt__laranja;-0.0014306145040511036;0.9985704083370566;0.0014306145040511036
txt__comprimento;0.0014128183798879088;1.001413816877952;0.0014128183798879088
txt__registro;0.0014118984727989046;1.0014128956707065;0.0014118984727989046
txt__material;0.0014115451111616185;1.0014125418098685;0.0014115451111616185
txt__estar;-0.0014004754845404134;0.9986005047236117;0.0014004754845404134
txt__tomate;-0.0013914007327342024;0.9986095668164637;0.0013914007327342024
