feature;coeficiente;odds_ratio_aprox;abs_coeficiente
txt__unid;-0.8315618768723249;0.4353687626115006;0.8315618768723249
txt__diferentes;0.8283527100474339;2.289544089171287;0.8283527100474339
txt__soldavel;-0.826633911173085;0.4375195400663261;0.826633911173085
txt__medindo;-0.8189675323614721;0.44088662076481366;0.8189675323614721
txt__48;-0.8179036470099689;0.4413559231800365;0.8179036470099689
txt__pre;0.8175948291028321;2.265045459386333;0.8175948291028321
txt__execucao;-0.8159034995775787;0.4422395835274459;0.8159034995775787
txt__oleo;-0.8114918261945719;0.444194910086721;0.8114918261945719
txt__gola;-0.809995322452557;0.4448601470725179;0.809995322452557
txt__conjunto de;0.8046805270545736;2.2359820489312656;0.8046805270545736
txt__entregue;0.8024354458619769;2.230967718581788;0.8024354458619769
txt__lixo;-0.802152571865683;0.4483627914817113;0.802152571865683
cat__uf_GO;-0.7994882342835471;0.44955897412706475;0.7994882342835471
txt__termica;0.7978998135926066;2.2208717824401023;0.7978998135926066
txt__escolar;-0.7966647690270379;0.45083008189113455;0.7966647690270379
txt__caderno;-0.796479369807091;0.4509136731852867;0.796479369807091
txt__para pintura;-0.794572596513842;0.4517742835685751;0.794572596513842
txt__servico de;0.7943028020362844;2.2128976311285546;0.7943028020362844
txt__luva;-0.7942909180100178;0.4519015565970335;0.7942909180100178
txt__de validade;-0.7939535327276731;0.4520540472539032;0.7939535327276731
txt__secretaria;-0.7919414584995758;0.45296452922357355;0.7919414584995758
txt__rendimento;-0.7879251570401359;0.4547874295315683;0.7879251570401359
cat__modalidade_CONCORRÊNCIA ELETRÔNICA;-0.7818858842533694;0.45754232528876154;0.7818858842533694
txt__de primeira;-0.7818667265806524;0.4575510908188469;0.7818667265806524
txt__especificacao;-0.7781612129450326;0.45924969778690294;0.7781612129450326
txt__hospitalar;0.7779774745670612;2.1770646411286627;0.7779774745670612
txt__eletroduto;0.7760694350861227;2.172914676248287;0.7760694350861227
txt__ponto;-0.7728789694699951;0.46168198481710854;0.7728789694699951
txt__material de;0.77221102843569;2.1645468414465565;0.77221102843569
txt__fino;-0.7694472741283533;0.4632690583526364;0.7694472741283533
txt__zero;0.7678508033660499;2.1551294758806843;0.7678508033660499
txt__bandeja;0.7662341454174145;2.1516481834709067;0.7662341454174145
txt__solda;0.7647937412145941;2.148551171394514;0.7647937412145941
txt__verso;-0.7618890142537096;0.46678383234271176;0.7618890142537096
txt__vidro;0.7614528515881124;2.141385076305798;0.7614528515881124
txt__ingredientes;0.7607513145487008;2.1398833421817725;0.7607513145487008
txt__baixa;0.7598851410768955;2.138030634496974;0.7598851410768955
txt__confeccao de;-0.7574376588749401;0.46886628449425355;0.7574376588749401
txt__mts;-0.755802228339647;0.4696337100974689;0.755802228339647
txt__bomba;0.7546337677420263;2.1268324660496747;0.7546337677420263
txt__exclusivo;0.753088803749631;2.123549123447906;0.753088803749631
txt__pacote de;-0.7517206639071727;0.4715544675259778;0.7517206639071727
txt__monitor;0.7508967622112096;2.1188993137103536;0.7508967622112096
txt__esgoto;-0.7487828915813348;0.47294182406182045;0.7487828915813348
txt__melhor qualidade;0.7435386465051667;2.103365427542581;0.7435386465051667
txt__enteral;-0.741791635271788;0.47625986670177517;0.741791635271788
txt__500 ml;-0.7410068274417029;0.47663378588247635;0.7410068274417029
txt__devera ser;0.7359301466913819;2.0874226991112868;0.7359301466913819
txt__umidade;-0.7356293070115647;0.47920379775619315;0.7356293070115647
txt__descartavel esteril;0.7342283596112389;2.083873371088023;0.7342283596112389
txt__br;-0.7340782343983747;0.47994765438171694;0.7340782343983747
txt__cateter;0.733851237616924;2.083087644773068;0.733851237616924
txt__facil;0.7335964287113733;2.0825569231093124;0.7335964287113733
txt__possui;0.7314460332984919;2.0780834138855173;0.7314460332984919
txt__com selo;-0.7310681232853619;0.4813945266805476;0.7310681232853619
txt__2021;-0.7287976231338452;0.48248877480149094;0.7287976231338452
txt__disjuntor;-0.7285820033868102;0.48259282012577104;0.7285820033868102
txt__marcas;-0.7278263431364702;0.48295763415741105;0.7278263431364702
txt__combustivel;-0.7257478306045808;0.48396251161580023;0.7257478306045808
txt__100 folhas;-0.724051268823048;0.48478428081069713;0.724051268823048
txt__projeto;-0.7234112810924072;0.4850946361036203;0.7234112810924072
txt__embalagem plastica;-0.7217907648008107;0.4858813771555683;0.7217907648008107
cat__modalidade_LICITAÇÃO 13.303;-0.7213173991005097;0.48611143117947503;0.7213173991005097
txt__sinalizacao;-0.7173322409830947;0.4880525273139599;0.7173322409830947
txt__tomada;-0.7169195120240867;0.48825400229992;0.7169195120240867
txt__estrutura;-0.7168227923321436;0.4883012283604206;0.7168227923321436
txt__medidas;0.7159694137527104;2.046169305777432;0.7159694137527104
txt__maxima de;-0.715605546299704;0.4888959729951157;0.715605546299704
txt__silicone;0.7154709286709734;2.0451495750851785;0.7154709286709734
txt__polpa;-0.715122019704733;0.4891324243608881;0.715122019704733
txt__luminaria;-0.7117540434376739;0.49078258805380864;0.7117540434376739
cat__uf_RJ;0.7107876519441684;2.03559396692133;0.7107876519441684
txt__marrom;-0.7106229010537037;0.4913380471328993;0.7106229010537037
txt__normas;-0.7100714055283428;0.49160909260064417;0.7100714055283428
txt__pvc;-0.7058456198198864;0.49369092286460975;0.7058456198198864
txt__no;-0.7011853055371415;0.4959970471819432;0.7011853055371415
txt__conjunto;0.7011038179012842;2.0159767510014563;0.7011038179012842
txt__municipal;-0.6974940504189746;0.4978312820527005;0.6974940504189746
txt__sulfite;-0.6974763980891326;0.4978400700122607;0.6974763980891326
txt__materia;0.6964801002569274;2.0066769600990444;0.6964801002569274
txt__milho;-0.69635996376782;0.49839618612874353;0.69635996376782
txt__seguro;-0.6954984810511712;0.4988257308252375;0.6954984810511712
txt__ou superior;-0.6946898980546644;0.4992292359411062;0.6946898980546644
txt__para;0.6921047523831659;1.9979162299254563;0.6921047523831659
txt__placas;-0.6916827929238337;0.5007327301876286;0.6916827929238337
txt__item;0.6893251070408675;1.992370442614336;0.6893251070408675
txt__uniforme;-0.6891342358731342;0.5020105036653573;0.6891342358731342
txt__km;0.6889533539847508;1.99162991046945;0.6889533539847508
txt__numeracao;-0.6887856044898303;0.5021855507933715;0.6887856044898303
txt__fresca;0.6886456341321365;1.9910171406924864;0.6886456341321365
txt__000 00;-0.686465687271868;0.5033519321302183;0.686465687271868
txt__liga;0.6828251209579898;1.9794620600668982;0.6828251209579898
txt__papel;-0.6783611485896328;0.5074479430544151;0.6783611485896328
txt__feijao;-0.6777077950571544;0.5077795942915146;0.6777077950571544
txt__frente verso;-0.6761086614387358;0.5085922513118948;0.6761086614387358
txt__esponja;-0.6746035291422593;0.5093583263125708;0.6746035291422593
txt__pneu;-0.67452177020936;0.5093999726082487;0.67452177020936
txt__bisnaga;0.6732184111508669;1.9605369918483981;0.6732184111508669
txt__norma;-0.6717009018683077;0.5108389514947058;0.6717009018683077
cat__uf_PA;-0.6716122245821843;0.5108842533151621;0.6716122245821843
cat__modalidade_PREGÃO ELETRÔNICO;-0.6684847505445446;0.5124845316637657;0.6684847505445446
txt__tubular;0.6668328386794877;1.9480577268337318;0.6668328386794877
txt__devendo;-0.6660657120189983;0.5137257521644362;0.6660657120189983
txt__me;0.6659515182985518;1.9463416201867942;0.6659515182985518
txt__comprimento;0.665376833262246;1.9452234081227793;0.665376833262246
txt__de saude;-0.6651996217036792;0.5141708777947901;0.6651996217036792
txt__40mg;-0.6629859059410933;0.515310366758625;0.6629859059410933
txt__paginas;-0.6629801300275132;0.515313343155366;0.6629801300275132
txt__graus;-0.6612293233893191;0.5162163474395933;0.6612293233893191
txt__lote;-0.66122048523825;0.5162209098578179;0.66122048523825
txt__acondicionado;-0.6572865177947891;0.5182557058972942;0.6572865177947891
txt__melhor;0.6563121857704176;1.9276703201043708;0.6563121857704176
txt__cobertura;-0.6559192991196261;0.5189647593820377;0.6559192991196261
txt__gasolina;0.655664910443924;1.9264229903949746;0.655664910443924
txt__alimentacao;0.6545261878391366;1.9242305775013966;0.6545261878391366
txt__coluna;0.6514060674018731;1.918236102954891;0.6514060674018731
